"","gene","left Primary somatosensory area","left Ventral orbital area","left Anterior cingulate area","left Primary motor area","left Posterior parietal association areas","left Primary auditory area","left Agranular insula","left Entorhinal area","left Temporal association areas","left Perirhinal area","left Piriform cortex","left Subiculum","left Retrosplenial area","left Primary visual area","right Primary somatosensory area","right Ventral orbital area","right Anterior cingulate area","right Primary motor area","right Posterior parietal association areas","right Primary auditory area","right Agranular insula","right Entorhinal area","right Temporal association areas","right Perirhinal area","right Piriform cortex","right Subiculum","right Retrosplenial area","right Primary visual area","Brain Stem","left Amygdala","left Caudoputamen","left Cerebellar cortex","left Globus pallidus","left Hippocampus","left Nucleus accumbens","left Thalamus","right Amygdala","right Caudoputamen","right Cerebellar cortex","right Globus pallidus","right Hippocampus","right Nucleus accumbens","right Thalamus","Medulla","Midbrain","Pons","left Field CA1","left Field CA3","left Dentate gyrus, molecular layer","right Field CA1","left Hypothalamus","left Bed nuclei of the stria terminalis"
"A4GALT","A4GALT","0.3968259","0.4913982","0.4275076","0.5293540","0.3955298","0.5463086","0.4223749","0.4418954","0.4038057","0.4424756","0.4229365","0.2676959","0.4501486","0.5203596","0.4951259","0.3653141","0.4410017","0.4333680","0.4534306","0.3817071","0.4999568","0.5955167","0.5050776","0.3740941","0.6143943","0.4077776","0.5322623","0.4770255","0.5671227","0.6417391","0.5316533","0.4045394","0.5574244","0.5635521","0.4398286","0.5716435","0.1824980","0.5280948","0.5585958","0.4607715","0.5497400","0.3622190","0.4125836","0.5937806","0.6515642","0.5197376","0.6759089","0.3069512","0.8178505","0.3596067","0.3490258","0.6444879"
"AACS","AACS","0.8460551","0.8415364","0.8660101","0.8269253","0.8141487","0.8080619","0.8277447","0.7473688","0.8219228","0.8285973","0.3749827","0.8190929","0.8376013","0.7779012","0.8358410","0.8675872","0.8879176","0.8050058","0.7614389","0.6766168","0.9060454","0.6662864","0.8297082","0.8415063","0.6820258","0.7738204","0.7708237","0.7713807","0.3642199","0.4157189","0.3105158","0.3429885","0.1604121","0.5715476","0.3160747","0.4861861","0.6653670","0.3525995","0.3893680","0.1949400","0.5456927","0.3946636","0.4593105","0.3534692","0.2951814","0.3828658","0.7476082","0.5979283","0.9342110","0.6076738","0.3206853","0.2454404"
"AARS","AARS","0.7464286","0.6670090","0.6376143","0.6948704","0.6780497","0.6771577","0.6044659","0.4870491","0.6412967","0.5763381","0.2600007","0.5890460","0.6400736","0.6070548","0.6868773","0.5836170","0.6434776","0.6392642","0.6869110","0.5545284","0.6717977","0.3895747","0.5965078","0.5051395","0.7739860","0.3402000","0.5000679","0.6719239","0.4374443","0.1960469","0.3605682","0.4509993","0.4273850","0.3763833","0.4666745","0.5083163","0.2650540","0.3993116","0.4388931","0.3056895","0.4054015","0.2604324","0.5392818","0.4165578","0.4185905","0.4527586","0.2028187","0.3756699","0.2437932","0.3823252","0.2986695","0.3401302"
"ABAT","ABAT","0.4423697","0.5260357","0.4737442","0.4544830","0.5078944","0.3718363","0.4122693","0.5252902","0.4407296","0.4692434","0.6838509","0.4792672","0.5370590","0.5486276","0.3598951","0.5133704","0.4450679","0.4392113","0.6588184","0.6488410","0.3085674","0.7075223","0.4364484","0.4353753","0.2008756","0.5298630","0.5228628","0.5472254","0.5949876","0.6952510","0.6798098","0.1967904","0.5118695","0.5220011","0.8245488","0.6052387","0.2235816","0.6389674","0.2393810","0.5995270","0.4291306","0.7414811","0.6591756","0.5773275","0.7433633","0.5944810","0.3762597","0.4142317","0.1100353","0.3728587","0.7480679","0.8261442"
"ABCB10","ABCB10","0.61171690","0.61785573","0.57899266","0.57166227","0.57107225","0.64247033","0.56177832","0.45184361","0.60084948","0.52839953","0.25630625","0.60557626","0.54294292","0.58564108","0.66132143","0.67300843","0.58816148","0.56706952","0.60479201","0.30676355","0.61372364","0.34722680","0.61243839","0.49338777","0.33282826","0.38150307","0.56146561","0.52537152","0.25852711","0.12069598","0.39950611","0.92048177","0.47001681","0.16653414","0.37875998","0.42585305","0.44930394","0.43020148","0.88433085","0.52711607","0.14918751","0.52219299","0.43803732","0.22725744","0.29084578","0.28742067","0.13263990","0.31563244","0.20723202","0.09613787","0.42441746","0.28870811"
"ABCB6","ABCB6","0.4198355","0.4457975","0.5875635","0.4785334","0.4153335","0.2983482","0.6232340","0.4188612","0.5126307","0.5600422","0.6561222","0.3658645","0.5180091","0.3290796","0.5049430","0.4322482","0.5605364","0.5552241","0.3182364","0.1842009","0.5751615","0.6401013","0.5553047","0.5783904","0.5808487","0.6029676","0.5488831","0.2684330","0.5672928","0.4783493","0.6703632","0.2621401","0.3640347","0.6646142","0.8857427","0.5615898","0.7318056","0.6978551","0.2904243","0.2837090","0.6442727","0.8377743","0.4662556","0.5543959","0.4883906","0.5941651","0.6323799","0.6798763","0.8169323","0.7023620","0.5951130","0.9371197"
"ABCD2","ABCD2","0.5290681","0.4553500","0.4439954","0.5675612","0.5769982","0.5328245","0.3382602","0.4855962","0.4295886","0.4378136","0.4821698","0.3512295","0.5279297","0.7602860","0.5180225","0.7194298","0.3830512","0.6271492","0.6159642","0.8160962","0.3926152","0.5948638","0.4580567","0.4207993","0.1746241","0.6201411","0.5575848","0.7641985","0.5150837","0.6000548","0.4354875","0.9577581","0.4266398","0.3802587","0.2374170","0.5991632","0.5655517","0.3862824","0.9462012","0.6823653","0.2987105","0.3102222","0.5592596","0.5069648","0.5241128","0.5166392","0.4542403","0.4769925","0.2238268","0.1659810","0.4014916","0.3414813"
"ABHD11","ABHD11","0.3794353","0.4049618","0.4037188","0.4205126","0.4256535","0.3150799","0.3773743","0.4311518","0.3875466","0.4343406","0.4210712","0.2418993","0.4842440","0.3722480","0.4339768","0.3125993","0.3711994","0.4090992","0.2534357","0.7517260","0.3199797","0.4122040","0.3946425","0.4293673","0.1506399","0.5511525","0.4521534","0.2303650","0.7149500","0.6921693","0.3199082","0.2595418","0.3186456","0.7516654","0.3462762","0.7249937","0.1411193","0.2931883","0.4596246","0.4278343","0.7272691","0.1905663","0.6576898","0.7259776","0.6846180","0.7084292","0.7737770","0.7410677","0.6110481","0.6928083","0.5152552","0.3864902"
"ABHD3","ABHD3","0.3187851","0.2832432","0.3011086","0.3330112","0.3694572","0.3318533","0.2375911","0.3988729","0.2696752","0.2848758","0.5543504","0.3184762","0.2803551","0.4303786","0.4249531","0.4380954","0.3461131","0.3610841","0.3547808","0.5632310","0.2782026","0.3928820","0.3120910","0.3127274","0.4020297","0.4531752","0.3020398","0.4121831","0.7702468","0.6413284","0.3662508","0.6092022","0.6124095","0.5062931","0.4280977","0.7928269","0.5143822","0.3797719","0.6313838","0.7042350","0.4961965","0.4257078","0.7796228","0.7497244","0.8324831","0.7835527","0.3544669","0.5813147","0.3968191","0.4219744","0.5213344","0.6368298"
"ABHD6","ABHD6","0.57889942","0.38376718","0.43961833","0.64527970","0.52468044","0.68182540","0.46219303","0.56008243","0.46982727","0.39318766","0.26548905","0.50411699","0.50960731","0.55786099","0.61357575","0.29711704","0.45821500","0.62886693","0.51844013","0.50011618","0.45355957","0.74633670","0.49110043","0.49412537","0.63488963","0.56630662","0.51636974","0.58183193","0.41905644","0.27458800","0.41310269","0.70749596","0.69771742","0.77687991","0.01303241","0.67300136","0.30110350","0.37896608","0.61252736","0.68618491","0.76497035","0.14120148","0.61694590","0.47774345","0.35694153","0.35163260","0.89951683","0.91675223","0.86695902","0.79602118","0.23923279","0.03068863"
