id,name,organism_id
61,Y|Un,2
120,Y,8
96,Y,3
60,Y,2
33,Y,1
59,X|Y,2
32,X|Y,1
95,X|Un,3
58,X|Un,2
119,X,8
94,X,3
57,X,2
31,X,1
118,Un,8
93,Un,3
56,Un,2
30,Un,1
117,MT,8
92,MT,3
55,MT,2
29,MT,1
91,9|Un,3
131,8|Un,3
125,7|Un,1
26,7|16,1
87,6|Un,3
157088122,4|Un,2
130,4|Un,3
124,4|Un,1
22,4|12,1
157088112,3|Un,1
83,3|Un,3
20,3|19,1
19,3|11,1
16,21|Un,1
81,20|Un,3
129,2|Un,3
123,2|Un,1
77,19|Un,3
157088114,18|Un,1
75,18|Un,3
157088116,17|Un,2
157088108,17|Un,1
128,17|Un,3
122,16|Un,1
127,15|Un,3
157088120,13|Un,1
126,13|Un,3
121,12|Un,1
68,12|Un,3
38,12|Un,2
157088110,11|Un,2
66,11|Un,3
64,10|Un,3
3,10|19|3,1
157088118,10|17,3
78,1|Un,3
46,1|Un,2
17,22,1
15,21,1
109,20,8
80,20,3
14,20,1
107,19,8
76,19,3
45,19,2
12,19,1
106,18,8
74,18,3
44,18,2
11,18,1
105,17,8
73,17,3
43,17,2
10,17,1
104,16,8
72,16,3
42,16,2
9,16,1
103,15,8
71,15,3
41,15,2
8,15,1
102,14,8
70,14,3
40,14,2
7,14,1
101,13,8
69,13,3
39,13,2
6,13,1
100,12,8
67,12,3
37,12,2
5,12,1
99,11,8
65,11,3
36,11,2
4,11,1
98,10,8
63,10,3
35,10,2
2,10,1
116,9,8
90,9,3
54,9,2
28,9,1
115,8,8
89,8,3
53,8,2
27,8,1
114,7,8
88,7,3
52,7,2
25,7,1
113,6,8
86,6,3
51,6,2
24,6,1
112,5,8
85,5,3
50,5,2
23,5,1
111,4,8
84,4,3
49,4,2
21,4,1
110,3,8
82,3,3
48,3,2
18,3,1
108,2,8
79,2,3
47,2,2
13,2,1
97,1,8
62,1,3
34,1,2
1,1,1
