"",".","."
"1","SLC25A5","Slc25a5"
"2","AR","Ar"
"3","ARX","Arx"
"4","CITED1","Cited1"
"5","CLCN5","Clcn5"
"6","COL4A5","Col4a5"
"7","DDX3X","Ddx3x"
"8","ELK1","Elk1"
"9","FGF13","Fgf13"
"10","GABRA3","Gabra3"
"11","TSC22D3","Tsc22d3"
"12","GPC4","Gpc4"
"13","GPM6B","Gpm6b"
"14","HDAC6","Hdac6"
"15","HTR2C","Htr2c"
"16","IDS","Ids"
"17","IL13RA1","Il13ra1"
"18","IRAK1","Irak1"
"19","ITM2A","Itm2a"
"20","L1CAM","L1cam"
"21","MAOA","Maoa"
"22","MECP2","Mecp2"
"23","MSN","Msn"
"24","NSDHL","Nsdhl"
"25","PAK3","Pak3"
"26","PLP1","Plp1"
"27","PLXNA3","Plxna3"
"28","POLA1","Pola1"
"29","SLC16A2","Slc16a2"
"30","SYN1","Syn1"
"31","TRPC5","Trpc5"
"32","XK","Xk"
"33","ATRX","Atrx"
"34","SYTL4","Sytl4"
"35","APLN","Apln"
"36","HS6ST2","Hs6st2"
"37","TSPYL2","Tspyl2"
"38","PGRMC1","Pgrmc1"
"39","PRDX4","Prdx4"
"40","GRIA3","Gria3"
"41","TRO","Tro"
"42","HNRNPH2","Hnrnph2"
"43","TSPAN6","Tspan6"
"44","SH3KBP1","Sh3kbp1"
"45","IL1RAPL2","Il1rapl2"
"46","COX7B","Cox7b"
"47","EIF1AY","Eif1ax"
"48","RNF128","Rnf128"
"49","SYAP1","Syap1"
"50","DYNLT3","Dynlt3"
"51","GPRASP1","Gprasp1"
"52","PIR","Pir"
"53","GPR173","Gpr173"
"54","PHF6","Phf6"
"55","GDPD2","Gdpd2"
"56","ZCCHC12","Zcchc12"
"57","ARHGEF6","Arhgef6"
"58","LONRF3","Lonrf3"
"59","MAP7D2","Map7d2"
"60","MAGED2","Maged2"
"61","DACH2","Dach2"
"62","PNCK","Pnck"
"63","PLS3","Pls3"
"64","CSTF2","Cstf2"
"65","OGT","Ogt"
"66","FAM50A","Fam50a"
"67","MAOB","Maob"
"68","RPS6KA3","Rps6ka3"
"69","PLXNB3","Plxnb3"
"70","TMEM47","Tmem47"
"71","REPS2","Reps2"
"72","FAM120C","Fam120c"
"73","ZDHHC9","Zdhhc9"
"74","ZNF280C","Zfp280c"
"75","ENOX2","Enox2"
"76","PTCHD1","Ptchd1"
"77","SLC10A3","Slc10a3"
"78","SYTL5","Sytl5"
"79","SLC9A7","Slc9a7"
"80","USP11","Usp11"
"81","MMGT1","Mmgt1"
"82","SLC9A6","Slc9a6"
"83","PCYT1B","Pcyt1b"
"84","PDK3","Pdk3"
"85","STARD8","Stard8"
"86","GLRA2","Glra2"
"87","SLITRK4","Slitrk4"
"88","PCDH11X","Pcdh11x"
"89","MUM1L1","Mum1l1"
"90","ATP11C","Atp11c"
"91","FRMPD4","Frmpd4"
"92","CDKL5","Cdkl5"
