"","Key","Mouse","Human"
"1",73,"Ar","AR"
"2",229,"Cited1","CITED1"
"3",274,"Crhbp","CRHBP"
"4",299,"Cyp46a1","CYP46A1"
"5",316,"Ddx5","DDX5"
"6",359,"Egr1","EGR1"
"7",384,"Esr1","ESR1"
"8",563,"Foxa1","FOXA1"
"9",607,"Inhba","INHBA"
"10",613,"Isl1","ISL1"
"11",841,"Pak1","PAK1"
"12",1060,"Sfrp1","SFRP1"
"13",1194,"Tgfb1","TGFB1"
"14",1196,"Tgfb2","TGFB2"
"15",1197,"Tgfb3","TGFB3"
"16",1256,"Ube3a","UBE3A"
"17",1265,"Nr1h3","NR1H3"
"18",1893,"Ufm1","UFM1"
"19",2370,"Chst10","CHST10"
"20",2406,"Zdhhc7","ZDHHC7"
"21",2444,"Akr1c18","AKR1C3"
"22",2724,"Arid5a","ARID5A"
"23",2767,"Trim25","TRIM25"
"24",2834,"Trerf1","TRERF1"
"25",2885,"Vps18","VPS18"
"26",2976,"Kank2","KANK2"
