gene,entrez_id,chromosome,
NELL1,4745,11,
TMEM249,340393,8,
SLC22A10,387775,11,
ARL9,132946,4,
TSHZ3,57616,19,
GALP,85569,19,
KLK8,11202,19,
MGP,4256,12,
TPTE2P1,646405,,
LXN,56925,3,
NR2F2,7026,15,
MLIP,90523,6,
CAMK4,814,5,
SLC44A5,204962,1,
SH3RF2,153769,5,
ISG15,9636,1,
C9orf91,203197,9,
TTC9B,148014,19,
PCDH11Y,83259,Y,
MYH6,4624,14,
BCL11A,53335,2,
ZBTB8A,653121,1,
CCDC152,100129792,5,
IQCJ,654502,3,
SEMA5B,54437,3,
BRINP2,57795,1,
RORB,6096,9,
TGFBR3L,100507588,19,
TMOD1,7111,9,
CEBPD,1052,8,
CAMK1,8536,3,
PTTG1,9232,5,
PYDC2,152138,3,
C13orf45,729420,13,
KCTD4,386618,13,
CARTPT,9607,5,
BUB1B,701,15,
LOXHD1,125336,18,
TRIM54,57159,2,
SDR16C5,195814,8,
FRAT2,23401,10,
PCDH11X,27328,X,
EPCAM,4072,2,
GOT1L1,137362,8,
NR1D1,9572,17,
PTTG2,10744,4,
TMEM91,641649,19,
SPINK2,6691,4,
PPP1R1A,5502,12,
PPL,5493,16,
MYBPHL,343263,1,
LCN15,389812,9,
TP53I11,9537,11,
SAMD5,389432,6,
LAMP5,24141,20,
APOC1,341,19,
RTN4R,65078,22,
LRRTM1,347730,2,
NPTXR,23467,22,
CNTNAP5,129684,2,
C14orf132,56967,14,
AUNIP,79000,1,
GREB1L,80000,18,
EPB41L4B,54566,9,
CCDC88B,283234,11,
VWC2L,402117,2,
FAP,2191,2,
ARPP21,10777,3,
PARVB,29780,22,
CLSPN,63967,1,
PPM1J,333926,1,
KIAA1239,57495,4,
LY6D,8581,8,
KCTD8,386617,4,
OTOL1,131149,3,
EPHA4,2043,2,
ASPHD2,57168,22,
CD70,970,19,
LIPH,200879,3,
KRTDAP,388533,19,
TLX2,3196,2,
LRRC7,57554,1,
EXPH5,23086,11,
NCALD,83988,8,
SLC15A3,51296,11,
DCBLD1,285761,6,
CAMK2D,817,4,
KCNA4,3739,11,
ARHGAP29,9411,1,
GABRA6,2559,5,
ACVR2A,92,2,
TIAM1,7074,21,
PPFIA4,8497,1,
PXDN,7837,2,
IL1B,3553,2,
CYP1B1-AS1,285154,2,
CAP2,10486,6,
CUX2,23316,12,
PDZD2,23037,5,
NR2F2-AS1,644192,15,
SHISA8,440829,22,
TMEM241,85019,18,
WFDC2,10406,20,
HIST1H4H,8365,6,
PCDH19,57526,X,
SLC38A11,151258,2,
SH3GL2,6456,9,
CAB39,51719,2,
DUSP5P1,574029,,
FANCL,55120,2,
NPTX2,4885,7,
BZW2,28969,7,
HIST1H1D,3007,6,
GPR88,54112,1,
BARD1,580,2,
VASN,114990,16,
PAPSS2,9060,10,
NEUROD1,4760,2,
ABLIM2,84448,4,
UST,10090,6,
TIMP3,7078,22,
CREG1,8804,1,
LINGO2,158038,9,
ERC2,26059,3,
DLGAP3,58512,1,
SYN3,8224,22,
MAL2,114569,8,
VWDE,221806,7,
PAK6,56924,15,
MAP2K6,5608,17,
DGKA,1606,12,
TRANK1,9881,3,
THSD7A,221981,7,
NPPA,4878,1,
BTG3,10950,21,
COL13A1,1305,10,
